episode,step,state,action,reward,next_state,done,epsilon,success
1,1,"0,0",right,-1,"0,1",False,0.954992586021436,False
1,2,"0,1",down,-1,"1,1",False,0.954992586021436,False
1,3,"1,1",left,-1,"1,0",False,0.954992586021436,False
1,4,"1,0",up,-1,"0,0",False,0.954992586021436,False
1,5,"0,0",down,-1,"1,0",False,0.954992586021436,False
1,6,"1,0",down,-1,"2,0",False,0.954992586021436,False
1,7,"2,0",down,-1,"3,0",False,0.954992586021436,False
1,8,"3,0",down,-1,"4,0",False,0.954992586021436,False
1,9,"4,0",right,10,"4,1",False,0.954992586021436,False
1,10,"4,1",up,-1,"3,1",False,0.954992586021436,False
1,11,"3,1",left,-1,"3,0",False,0.954992586021436,False
1,12,"3,0",up,-1,"2,0",False,0.954992586021436,False
1,13,"2,0",down,-1,"3,0",False,0.954992586021436,False
1,14,"3,0",down,-1,"4,0",False,0.954992586021436,False
1,15,"4,0",down,10,"5,0",False,0.954992586021436,False
1,16,"5,0",right,-1,"5,1",False,0.954992586021436,False
1,17,"5,1",right,-1,"5,2",False,0.954992586021436,False
1,18,"5,2",up,-1,"4,2",False,0.954992586021436,False
1,19,"4,2",left,-1,"4,1",False,0.954992586021436,False
1,20,"4,1",right,-1,"4,2",False,0.954992586021436,False
1,21,"4,2",down,-1,"5,2",False,0.954992586021436,False
1,22,"5,2",right,-1,"5,3",False,0.954992586021436,False
1,23,"5,3",right,-1,"5,4",False,0.954992586021436,False
1,24,"5,4",right,100,"5,5",True,0.954992586021436,True
2,1,"0,0",right,-1,"0,1",False,0.9120108393559099,False
2,2,"0,1",right,-1,"0,2",False,0.9120108393559099,False
2,3,"0,2",right,-1,"0,3",False,0.9120108393559099,False
2,4,"0,3",right,-1,"0,4",False,0.9120108393559099,False
2,5,"0,4",left,-1,"0,3",False,0.9120108393559099,False
2,6,"0,3",left,-1,"0,2",False,0.9120108393559099,False
2,7,"0,2",left,-1,"0,1",False,0.9120108393559099,False
2,8,"0,1",left,-1,"0,0",False,0.9120108393559099,False
2,9,"0,0",down,-1,"1,0",False,0.9120108393559099,False
2,10,"1,0",down,-1,"2,0",False,0.9120108393559099,False
2,11,"2,0",down,-1,"3,0",False,0.9120108393559099,False
2,12,"3,0",down,-1,"4,0",False,0.9120108393559099,False
2,13,"4,0",down,10,"5,0",False,0.9120108393559099,False
2,14,"5,0",right,-1,"5,1",False,0.9120108393559099,False
2,15,"5,1",right,-1,"5,2",False,0.9120108393559099,False
2,16,"5,2",right,-1,"5,3",False,0.9120108393559099,False
