state,action,value
"0,0",down,-2.38468256222861
"0,0",right,29.72399624387612
"0,1",down,-1.9358595936257903
"0,1",left,-2.0052510925908464
"0,1",right,42.62229846148678
"0,2",left,0.7342510797171269
"0,2",right,56.60969686528882
"0,3",down,70.69495582292015
"0,3",left,-1.438234271032866
"0,3",right,-0.24085449082074667
"0,4",left,-0.8702446278045021
"0,4",right,3.2569530817536663
"0,5",down,2.855445086540297
"0,5",left,-0.6447238986709626
"1,0",up,-1.9620596317306773
"1,0",down,-1.9025190205773688
"1,0",right,-2.046480097782657
"1,1",up,-1.4627896718036182
"1,1",left,-1.9241596755918995
"1,3",up,4.775346326779605
"1,3",down,83.63971582479758
"1,5",up,0.6642534158257776
"1,5",down,24.532881071448504
"2,0",up,-1.9923723389362873
"2,0",down,-1.2955391571192425
"2,2",right,-0.5001075839358939
"2,3",up,2.4257217734752725
"2,3",down,1.9057762516454417
"2,3",left,-1.177858899861894
"2,3",right,83.18956638768115
"2,4",left,4.37708183837463
"2,4",right,91.9015174290328
"2,5",up,1.6004909770874445
"2,5",down,87.72443663573004
"2,5",left,15.857205512494371
"3,0",up,-1.2282987395943188
"3,0",down,-0.7245721138391784
"3,0",right,-0.5959784481049442
"3,1",down,2.159559577993772
"3,1",left,-0.8656063366401183
"3,3",up,3.9035985082425158
"3,5",up,26.918199715512618
"3,5",down,93.87411473879708
"4,0",up,-0.6599091570023318
"4,0",down,-0.7056188462916986
"4,0",right,0.3840640576105422
"4,1",up,-0.8988104733720396
"4,1",down,-0.6640928420155712
"4,1",left,-0.9003205353298869
"4,1",right,-0.8875856419187853
"4,2",down,0.5698345498883358
"4,2",left,-0.636931241707382
"4,4",down,0.0
"4,4",right,38.70187296288228
"4,5",up,9.932113716727644
"4,5",down,99.98709929921827
"4,5",left,6.871977282910208
"5,0",up,-0.8901942816909953
"5,0",right,-0.9258133778766834
"5,1",up,-0.9008222904049165
"5,1",left,-0.4998295522377084
"5,1",right,1.9787774054092486
"5,2",up,-0.5113963042845151
"5,2",left,-0.5444540485901063
"5,2",right,10.347971302408164
"5,3",left,-0.07071295665776833
"5,3",right,29.920200161950802
"5,4",up,2.6164591041840723
"5,4",left,0.16811200000000004
"5,4",right,65.13215599
"5,5",up,0.0
"5,5",left,0.0
